bank,year,metric_name,val,unit,source_chunk_id
EagleBankCorp_278872,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND
EagleBankCorp_278872,2024,NIM,NOT FOUND,NOT FOUND,NOT FOUND
EagleBankCorp_278872,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND
EagleBankCorp_278872,2024,Provision for Credit Losses,NOT FOUND,NOT FOUND,NOT FOUND
easternbank_128904,2024,ROA,7.25,%,[k=easternbank_128904|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=323]
easternbank_128904,2024,ROE,3.66,thousands,table:b0000
easternbank_128904,2024,NIM,3.40,%,[k=easternbank_128904|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=396]
easternbank_128904,2024,NII,"607,597",thousand,k=easternbank_128904|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=294
easternbank_128904,2024,Provision for Credit Losses,67.4,million,[k=easternbank_128904|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=302]
EphrataNational_425911,2024,ROA,0.75,%,[k=EphrataNational_425911|stem=2024-ENB-Annual-Report-Completepdf|chunk=5]
EphrataNational_425911,2024,ROE,12.13,%,[k=EphrataNational_425911|stem=2024-ENB-Annual-Report-Completepdf|chunk=116]
EphrataNational_425911,2024,NIM,2.87,%,[k=EphrataNational_425911|stem=2024-ENB-Annual-Report-Completepdf|chunk=71]
EphrataNational_425911,2024,NII,"$2,702,000,",thousand,k=EphrataNational_425911|stem=2024-ENB-Annual-Report-Completepdf|chunk=114
EphrataNational_425911,2024,Provision for Credit Losses,"1,015,000",thousand,[k=EphrataNational_425911|stem=2024-ENB-Annual-Report-Completepdf|chunk=114]
FirstHorizonBnk_485559,2024,ROA,0.97,%,[k=FirstHorizonBnk_485559|stem=2024-Annual-Report-on-Form-10-Kpdf|chunk=214]
FirstHorizonBnk_485559,2024,ROE,8.80,millions,table:b0022
FirstHorizonBnk_485559,2024,NIM,3.35,%,[k=FirstHorizonBnk_485559|stem=2024-Annual-Report-on-Form-10-Kpdf|chunk=373]
FirstHorizonBnk_485559,2024,NII,"$ 21,436",million,k=FirstHorizonBnk_485559|stem=2024-Annual-Report-on-Form-10-Kpdf|chunk=216
FirstHorizonBnk_485559,2024,Provision for Credit Losses,150,million,[k=FirstHorizonBnk_485559|stem=2024-Annual-Report-on-Form-10-Kpdf|chunk=34]
FMTrust_289515,2024,ROA,0.54,%,[k=FMTrust_289515|stem=25023FMT-2024-Shareholders-Annual-D-FINAL-WEB-USE-SINGLESpdf|chunk=4]
FMTrust_289515,2024,ROE,8.05,%,[k=FMTrust_289515|stem=25023FMT-2024-Shareholders-Annual-D-FINAL-WEB-USE-SINGLESpdf|chunk=4]
FMTrust_289515,2024,NIM,2.95,%,[k=FMTrust_289515|stem=25023FMT-2024-Shareholders-Annual-D-FINAL-WEB-USE-SINGLESpdf|chunk=4]
FMTrust_289515,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND
FMTrust_289515,2024,Provision for Credit Losses,NOT FOUND,NOT FOUND,NOT FOUND
HarborOne_40499,2024,ROA,7.25,%,[k=HarborOne_40499|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=323]
HarborOne_40499,2024,ROE,3.66,thousands,table:b0000
HarborOne_40499,2024,NIM,3.40,%,[k=HarborOne_40499|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=396]
HarborOne_40499,2024,NII,"607,597",thousand,k=HarborOne_40499|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=293
HarborOne_40499,2024,Provision for Credit Losses,67.4,million,[k=HarborOne_40499|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=302]
HorizonBank_130541,2024,ROA,NOT FOUND,NOT FOUND,NOT FOUND
HorizonBank_130541,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND
HorizonBank_130541,2024,NIM,2.97,%,[k=HorizonBank_130541|stem=HBNC-2024-12-31-10K-FINALpdf|chunk=135]
HorizonBank_130541,2024,NII,"$ 188,604",thousand,k=HorizonBank_130541|stem=HBNC-2024-12-31-10K-FINALpdf|chunk=143
HorizonBank_130541,2024,Provision for Credit Losses,2.9,million,[k=HorizonBank_130541|stem=HBNC-2024-12-31-10K-FINALpdf|chunk=123]
Huntington_Bank_12311,2024,ROA,1.25,millions,table:b0014
Huntington_Bank_12311,2024,ROE,13.2,millions,table:b0014
Huntington_Bank_12311,2024,NIM,7,%,[k=Huntington_Bank_12311|stem=Annual_Report_2024_HBAN006-10-K_2024_Bookmarked_FINAL_03062025pdf|chunk=283]
Huntington_Bank_12311,2024,NII,"3,717",million,k=Huntington_Bank_12311|stem=Annual_Report_2024_HBAN006-10-K_2024_Bookmarked_FINAL_03062025pdf|chunk=186
Huntington_Bank_12311,2024,Provision for Credit Losses,284,million,[k=Huntington_Bank_12311|stem=Annual_Report_2024_HBAN006-10-K_2024_Bookmarked_FINAL_03062025pdf|chunk=469]
mvbbanking_2757205,2024,ROA,0.6,%,[k=mvbbanking_2757205|stem=2024AnnualReport_FINALpdf|chunk=161]
mvbbanking_2757205,2024,ROE,6.9,%,[k=mvbbanking_2757205|stem=2024AnnualReport_FINALpdf|chunk=161]
mvbbanking_2757205,2024,NIM,3.64,%,[k=mvbbanking_2757205|stem=2024AnnualReport_FINALpdf|chunk=164]
mvbbanking_2757205,2024,NII,"$ 109,916",thousand,k=mvbbanking_2757205|stem=2024AnnualReport_FINALpdf|chunk=159
mvbbanking_2757205,2024,Provision for Credit Losses,"2,541",thousand,[k=mvbbanking_2757205|stem=2024AnnualReport_FINALpdf|chunk=385]
MyPCSB_24006,2024,ROA,0.75,%,[k=MyPCSB_24006|stem=Proxypdf|chunk=264]
MyPCSB_24006,2024,ROE,5.84,%,[k=MyPCSB_24006|stem=Proxypdf|chunk=180]
MyPCSB_24006,2024,NIM,3.09,%,[k=MyPCSB_24006|stem=Proxypdf|chunk=183]
MyPCSB_24006,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND
MyPCSB_24006,2024,Provision for Credit Losses,NOT FOUND,NOT FOUND,NOT FOUND
NorthernTrust_210434,2024,ROA,10.0,%,[k=NorthernTrust_210434|stem=annual-report-2024-financial-highlightspdf|chunk=0]
NorthernTrust_210434,2024,ROE,17.4,%,[k=NorthernTrust_210434|stem=annual-report-2024-financial-highlightspdf|chunk=0]
NorthernTrust_210434,2024,NIM,1.62,%,[k=NorthernTrust_210434|stem=northern-trust-2024-10-kpdf|chunk=348]
NorthernTrust_210434,2024,NII,"2,177.1",million,k=NorthernTrust_210434|stem=northern-trust-2024-10-kpdf|chunk=183
NorthernTrust_210434,2024,Provision for Credit Losses,3,million,[k=NorthernTrust_210434|stem=northern-trust-2024-10-kpdf|chunk=179]
NorwaySavings_289702,2024,ROA,NOT FOUND,NOT FOUND,NOT FOUND
NorwaySavings_289702,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND
NorwaySavings_289702,2024,NIM,NOT FOUND,NOT FOUND,NOT FOUND
NorwaySavings_289702,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND
NorwaySavings_289702,2024,Provision for Credit Losses,NOT FOUND,NOT FOUND,NOT FOUND
SavingsFirst_613679,2024,ROA,0.24,%,table:pdf_p003_t00
SavingsFirst_613679,2024,ROE,5.06,%,table:pdf_p003_t00
SavingsFirst_613679,2024,NIM,NOT FOUND,NOT FOUND,NOT FOUND
SavingsFirst_613679,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND
SavingsFirst_613679,2024,Provision for Credit Losses,NOT FOUND,NOT FOUND,NOT FOUND
SunflowerBank_474759,2024,ROA,0.96,%,[k=SunflowerBank_474759|stem=4fa39bdb-ab68-4d01-956a-ee0234bc2c39pdf|chunk=252]
SunflowerBank_474759,2024,ROE,7.56,%,[k=SunflowerBank_474759|stem=4fa39bdb-ab68-4d01-956a-ee0234bc2c39pdf|chunk=252]
SunflowerBank_474759,2024,NIM,4.06,%,[k=SunflowerBank_474759|stem=4fa39bdb-ab68-4d01-956a-ee0234bc2c39pdf|chunk=382]
SunflowerBank_474759,2024,NII,"$ 296,910",thousand,k=SunflowerBank_474759|stem=4fa39bdb-ab68-4d01-956a-ee0234bc2c39pdf|chunk=382
SunflowerBank_474759,2024,Provision for Credit Losses,"28,200",thousand,[k=SunflowerBank_474759|stem=4fa39bdb-ab68-4d01-956a-ee0234bc2c39pdf|chunk=277]
sybsince1904_317342,2024,ROA,1.37,%,[k=sybsince1904_317342|stem=7ee64139-1070-4f0d-99b3-ed8b78611139pdf|chunk=96]
sybsince1904_317342,2024,ROE,12.58,thousands,table:b0010
sybsince1904_317342,2024,NIM,4.25,%,[k=sybsince1904_317342|stem=7ee64139-1070-4f0d-99b3-ed8b78611139pdf|chunk=118]
sybsince1904_317342,2024,NII,"$ 257,400",thousand,k=sybsince1904_317342|stem=7ee64139-1070-4f0d-99b3-ed8b78611139pdf|chunk=121
sybsince1904_317342,2024,Provision for Credit Losses,1.3,million,[k=sybsince1904_317342|stem=7ee64139-1070-4f0d-99b3-ed8b78611139pdf|chunk=143]
TruistNews_852320,2024,ROA,0.92,%,[k=TruistNews_852320|stem=2024-annual-report-fullBook_ADApdf|chunk=46]
TruistNews_852320,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND
TruistNews_852320,2024,NIM,NOT FOUND,NOT FOUND,NOT FOUND
TruistNews_852320,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND
TruistNews_852320,2024,Provision for Credit Losses,"1,870",million,[k=TruistNews_852320|stem=2024-annual-report-fullBook_ADApdf|chunk=11]
