bank,year,metric_name,val,unit,source_chunk_id,bucket
DeutscheBank_214807,2024,Provision for Credit Losses,1.5,million,[k=DeutscheBank_214807|stem=Annual-Report-2023pdf|chunk=102],ok
DeutscheBank_214807,2024,ROA,0.35,%,[k=DeutscheBank_214807|stem=Annual-Report-2023pdf|chunk=728],ok
DeutscheBank_214807,2024,ROE,8.4,%,table:b0021,table_prefill
EagleBankCorp_278872,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
EagleBankCorp_278872,2024,NIM,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
EagleBankCorp_278872,2024,Provision for Credit Losses,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
EagleBankCorp_278872,2024,ROA,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
EagleBankCorp_278872,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
EphrataNational_425911,2024,NII,"$2,702,000,",thousand,k=EphrataNational_425911|stem=2024-ENB-Annual-Report-Completepdf|chunk=114,ok
EphrataNational_425911,2024,NIM,2.87,%,[k=EphrataNational_425911|stem=2024-ENB-Annual-Report-Completepdf|chunk=71],ok
EphrataNational_425911,2024,Provision for Credit Losses,"1,015,000",thousand,[k=EphrataNational_425911|stem=2024-ENB-Annual-Report-Completepdf|chunk=114],ok
EphrataNational_425911,2024,ROA,0.75,%,[k=EphrataNational_425911|stem=2024-ENB-Annual-Report-Completepdf|chunk=5],ok
EphrataNational_425911,2024,ROE,12.13,%,[k=EphrataNational_425911|stem=2024-ENB-Annual-Report-Completepdf|chunk=116],ok
FMTrust_289515,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
FMTrust_289515,2024,NIM,2.95,%,[k=FMTrust_289515|stem=25023FMT-2024-Shareholders-Annual-D-FINAL-WEB-USE-SINGLESpdf|chunk=4],ok
FMTrust_289515,2024,Provision for Credit Losses,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
FMTrust_289515,2024,ROA,0.54,%,[k=FMTrust_289515|stem=25023FMT-2024-Shareholders-Annual-D-FINAL-WEB-USE-SINGLESpdf|chunk=4],ok
FMTrust_289515,2024,ROE,8.05,%,[k=FMTrust_289515|stem=25023FMT-2024-Shareholders-Annual-D-FINAL-WEB-USE-SINGLESpdf|chunk=4],ok
FirstHorizonBnk_485559,2024,NII,"$ 21,436",million,k=FirstHorizonBnk_485559|stem=2024-Annual-Report-on-Form-10-Kpdf|chunk=216,ok
FirstHorizonBnk_485559,2024,NIM,3.35,%,[k=FirstHorizonBnk_485559|stem=2024-Annual-Report-on-Form-10-Kpdf|chunk=373],ok
FirstHorizonBnk_485559,2024,Provision for Credit Losses,150,million,[k=FirstHorizonBnk_485559|stem=2024-Annual-Report-on-Form-10-Kpdf|chunk=34],ok
FirstHorizonBnk_485559,2024,ROA,0.97,%,[k=FirstHorizonBnk_485559|stem=2024-Annual-Report-on-Form-10-Kpdf|chunk=214],ok
FirstHorizonBnk_485559,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
GermanAmerican_37640,2024,NII,"190,591",thousand,k=_GermanAmerican_37640|stem=2025-SAR-Annual-Reportpdf|chunk=13,ok
GermanAmerican_37640,2024,NIM,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
GermanAmerican_37640,2024,Provision for Credit Losses,"2,775",thousand,[k=_GermanAmerican_37640|stem=2025-SAR-Annual-Reportpdf|chunk=12],ok
GermanAmerican_37640,2024,ROA,1.34,%,COMPUTED_FROM [k=_GermanAmerican_37640|stem=2025-SAR-Annual-Reportpdf|chunk=12] (Net Income / Avg Assets),ok
GermanAmerican_37640,2024,ROE,12.22,%,COMPUTED_FROM [k=_GermanAmerican_37640|stem=2025-SAR-Annual-Reportpdf|chunk=12] (Net Income / Avg Equity),ok
HarborOne_40499,2024,NII,"607,597",thousand,k=HarborOne_40499|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=295,ok
HarborOne_40499,2024,NIM,3.40,%,[k=HarborOne_40499|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=396],ok
HarborOne_40499,2024,Provision for Credit Losses,"172,373",thousands,table:b0161,table_prefill
HarborOne_40499,2024,ROA,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
HarborOne_40499,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
HorizonBank_130541,2024,NII,"$ 188,604",thousand,k=HorizonBank_130541|stem=HBNC-2024-12-31-10K-FINALpdf|chunk=133,ok
HorizonBank_130541,2024,NIM,2.97,%,[k=HorizonBank_130541|stem=HBNC-2024-12-31-10K-FINALpdf|chunk=135],ok
HorizonBank_130541,2024,Provision for Credit Losses,2.9,million,[k=HorizonBank_130541|stem=HBNC-2024-12-31-10K-FINALpdf|chunk=123],ok
HorizonBank_130541,2024,ROA,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
HorizonBank_130541,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
Huntington_Bank_12311,2024,NII,"3,717",million,k=Huntington_Bank_12311|stem=Annual_Report_2024_HBAN006-10-K_2024_Bookmarked_FINAL_03062025pdf|chunk=186,ok
Huntington_Bank_12311,2024,NIM,$12.2,%,[k=Huntington_Bank_12311|stem=Annual_Report_2024_HBAN006-10-K_2024_Bookmarked_FINAL_03062025pdf|chunk=283],ok
Huntington_Bank_12311,2024,Provision for Credit Losses,284,million,[k=Huntington_Bank_12311|stem=Annual_Report_2024_HBAN006-10-K_2024_Bookmarked_FINAL_03062025pdf|chunk=469],ok
Huntington_Bank_12311,2024,ROA,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
Huntington_Bank_12311,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
MyPCSB_24006,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
MyPCSB_24006,2024,NIM,3.09,%,[k=MyPCSB_24006|stem=Proxypdf|chunk=183],ok
MyPCSB_24006,2024,Provision for Credit Losses,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
MyPCSB_24006,2024,ROA,0.75,%,[k=MyPCSB_24006|stem=Proxypdf|chunk=264],ok
MyPCSB_24006,2024,ROE,5.84,%,[k=MyPCSB_24006|stem=Proxypdf|chunk=180],ok
NorthernTrust_210434,2024,NII,"2,177.1",million,k=NorthernTrust_210434|stem=northern-trust-2024-10-kpdf|chunk=183,ok
NorthernTrust_210434,2024,NIM,1.62,%,[k=NorthernTrust_210434|stem=northern-trust-2024-10-kpdf|chunk=348],ok
NorthernTrust_210434,2024,Provision for Credit Losses,3,million,[k=NorthernTrust_210434|stem=northern-trust-2024-10-kpdf|chunk=179],ok
NorthernTrust_210434,2024,ROA,1.39,%,[k=NorthernTrust_210434|stem=annual-report-2024-financial-highlightspdf|chunk=0],ok
NorthernTrust_210434,2024,ROE,17.4,%,[k=NorthernTrust_210434|stem=annual-report-2024-financial-highlightspdf|chunk=0],ok
NorwaySavings_289702,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
NorwaySavings_289702,2024,NIM,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
NorwaySavings_289702,2024,Provision for Credit Losses,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
NorwaySavings_289702,2024,ROA,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
NorwaySavings_289702,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
SavingsFirst_613679,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
SavingsFirst_613679,2024,NIM,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
SavingsFirst_613679,2024,Provision for Credit Losses,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
SavingsFirst_613679,2024,ROA,0.24,%,table:pdf_p003_t00,table_prefill
SavingsFirst_613679,2024,ROE,5.06,%,table:pdf_p003_t00,table_prefill
SunflowerBank_474759,2024,NII,"$ 296,910",thousand,k=SunflowerBank_474759|stem=4fa39bdb-ab68-4d01-956a-ee0234bc2c39pdf|chunk=252,ok
SunflowerBank_474759,2024,NIM,4.06,%,[k=SunflowerBank_474759|stem=4fa39bdb-ab68-4d01-956a-ee0234bc2c39pdf|chunk=382],ok
SunflowerBank_474759,2024,Provision for Credit Losses,"27,550",thousands,table:b0006,table_prefill
SunflowerBank_474759,2024,ROA,0.96,%,[k=SunflowerBank_474759|stem=4fa39bdb-ab68-4d01-956a-ee0234bc2c39pdf|chunk=252],ok
SunflowerBank_474759,2024,ROE,7.56,%,[k=SunflowerBank_474759|stem=4fa39bdb-ab68-4d01-956a-ee0234bc2c39pdf|chunk=252],ok
TruistNews_852320,2024,NII,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
TruistNews_852320,2024,NIM,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
TruistNews_852320,2024,Provision for Credit Losses,"1,870",million,[k=TruistNews_852320|stem=2024-annual-report-fullBook_ADApdf|chunk=11],ok
TruistNews_852320,2024,ROA,0.92,%,[k=TruistNews_852320|stem=2024-annual-report-fullBook_ADApdf|chunk=46],ok
TruistNews_852320,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
easternbank_128904,2024,NII,"607,597",thousand,k=easternbank_128904|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=295,ok
easternbank_128904,2024,NIM,3.40,%,[k=easternbank_128904|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=396],ok
easternbank_128904,2024,Provision for Credit Losses,"172,373",thousands,table:b0161,table_prefill
easternbank_128904,2024,ROA,0.76,%,[k=easternbank_128904|stem=2024-Final-Annual-Report_869627_006_Print_CLEANpdf|chunk=5],ok
easternbank_128904,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
mvbbanking_2757205,2024,NII,"$ 109,916",thousand,k=mvbbanking_2757205|stem=2024AnnualReport_FINALpdf|chunk=160,ok
mvbbanking_2757205,2024,NIM,3.64,%,[k=mvbbanking_2757205|stem=2024AnnualReport_FINALpdf|chunk=164],ok
mvbbanking_2757205,2024,Provision for Credit Losses,"2,541",thousand,[k=mvbbanking_2757205|stem=2024AnnualReport_FINALpdf|chunk=385],ok
mvbbanking_2757205,2024,ROA,0.6,%,[k=mvbbanking_2757205|stem=2024AnnualReport_FINALpdf|chunk=161],ok
mvbbanking_2757205,2024,ROE,6.9,%,[k=mvbbanking_2757205|stem=2024AnnualReport_FINALpdf|chunk=161],ok
sybsince1904_317342,2024,NII,"$ 257,400",thousand,k=sybsince1904_317342|stem=7ee64139-1070-4f0d-99b3-ed8b78611139pdf|chunk=121,ok
sybsince1904_317342,2024,NIM,4.25,%,[k=sybsince1904_317342|stem=7ee64139-1070-4f0d-99b3-ed8b78611139pdf|chunk=118],ok
sybsince1904_317342,2024,Provision for Credit Losses,1.3,million,[k=sybsince1904_317342|stem=7ee64139-1070-4f0d-99b3-ed8b78611139pdf|chunk=143],ok
sybsince1904_317342,2024,ROA,1.37,%,[k=sybsince1904_317342|stem=7ee64139-1070-4f0d-99b3-ed8b78611139pdf|chunk=96],ok
sybsince1904_317342,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
